,norse_poems,norse_poems_no_italics,name,abbreviation,volume,author
0,"Varð framgengt, 
þars Fróði bjó, 
feigðarorð, 
es at Fjǫlni kom. 
Ok sikling 
svigðis geira 
vágr vindlauss 
of viða skyldi. ","Varð framgengt, 
þars Fróði bjó, 
feigðarorð, 
es at Fjǫlni kom. 
Ok sikling 
svigðis geira 
vágr vindlauss 
of viða skyldi. ",Ynglingatal,Þjóð Yt 1<sup>I</sup>,1,Þjóðólfr ór Hvini 
1,"En dagskjarr 
Dúrnis niðja 
salvǫrðuðr 
Sveigði vélti, 
þás í stein 
hinn stórgeði 
Dusla konr 
ept dvergi hljóp. 
Ok sal<i>r</i> bjartr 
þeira Sǫkmímis 
jǫtunbyggðr 
við jǫfri gein. ","En dagskjarr 
Dúrnis niðja 
salvǫrðuðr 
Sveigði vélti, 
þás í stein 
hinn stórgeði 
Dusla konr 
ept dvergi hljóp. 
Ok salr bjartr 
þeira Sǫkmímis 
jǫtunbyggðr 
við jǫfri gein. ",Ynglingatal,Þjóð Yt 2<sup>I</sup>,1,Þjóðólfr ór Hvini 
2,"Enn á vit 
Vilja bróður 
vitta véttr 
Vanlanda kom, 
þá<i>s</i> trollkund 
of troða skyldi 
líðs Grímhildr 
ljóna bága. 
Ok sá brann 
á beði Skútu 
menglǫtuðr, 
es mara kvalði. ","Enn á vit 
Vilja bróður 
vitta véttr 
Vanlanda kom, 
þás trollkund 
of troða skyldi 
líðs Grímhildr 
ljóna bága. 
Ok sá brann 
á beði Skútu 
menglǫtuðr, 
es mara kvalði. ",Ynglingatal,Þjóð Yt 3<sup>I</sup>,1,Þjóðólfr ór Hvini 
3,"Ok Vísburs 
vilja byrði 
sævar niðr 
svelgja knátti, 
þás meinþjóf 
markar ǫttu 
setrs verjendr 
á sinn fǫður. 
Ok allvald 
í arinkjóli 
glóða garmr 
glymjandi beit. ","Ok Vísburs 
vilja byrði 
sævar niðr 
svelgja knátti, 
þás meinþjóf 
markar ǫttu 
setrs verjendr 
á sinn fǫður. 
Ok allvald 
í arinkjóli 
glóða garmr 
glymjandi beit. ",Ynglingatal,Þjóð Yt 4<sup>I</sup>,1,Þjóðólfr ór Hvini 
4,"Hitt vas fyrr, 
at fold ruðu 
sverðberendr 
sínum dróttni. 
Ok landherr 
af lífsvǫnum 
dreyrug vôpn 
Dómalda bar, 
þás árgjǫrn 
Jóta dolgi 
Svía kind 
of sóa skyldi. ","Hitt vas fyrr, 
at fold ruðu 
sverðberendr 
sínum dróttni. 
Ok landherr 
af lífsvǫnum 
dreyrug vôpn 
Dómalda bar, 
þás árgjǫrn 
Jóta dolgi 
Svía kind 
of sóa skyldi. ",Ynglingatal,Þjóð Yt 5<sup>I</sup>,1,Þjóðólfr ór Hvini 
5,"Ok þess opt 
of yngva hreyr 
fróða menn 
of fregit hafðak, 
hvar Dómarr 
á dynjanda 
bana Hôalfs 
of borinn væri. 
Núk þat veit, 
at verkbitinn 
Fjǫlnis niðr 
við Fýri brann. ","Ok þess opt 
of yngva hreyr 
fróða menn 
of fregit hafðak, 
hvar Dómarr 
á dynjanda 
bana Hôalfs 
of borinn væri. 
Núk þat veit, 
at verkbitinn 
Fjǫlnis niðr 
við Fýri brann. ",Ynglingatal,Þjóð Yt 6<sup>I</sup>,1,Þjóðólfr ór Hvini 
6,"Kveðkat dul, 
nema Dyggva hrør 
Glitnis Gnô 
at gamni hefr, 
þvít jódís 
Ulfs ok Narfa 
konungmann 
kjósa skyldi. 
Ok allvald 
Yngva þjóðar 
Loka mær 
of leikinn hefr. ","Kveðkat dul, 
nema Dyggva hrør 
Glitnis Gnô 
at gamni hefr, 
þvít jódís 
Ulfs ok Narfa 
konungmann 
kjósa skyldi. 
Ok allvald 
Yngva þjóðar 
Loka mær 
of leikinn hefr. ",Ynglingatal,Þjóð Yt 7<sup>I</sup>,1,Þjóðólfr ór Hvini 
7,"Frák at Dagr 
dauða orði 
frægðar fúss 
of fara skyldi, 
þás valteins 
til Vǫrva kom 
spakfrǫmuðr 
Spǫrs at hefna. 
Ok þat orð 
á austrvega 
vísa ferð 
frá vígi bar, 
at þann gram 
of geta skyldi 
slǫnguþref 
Sleipnis verðar. ","Frák at Dagr 
dauða orði 
frægðar fúss 
of fara skyldi, 
þás valteins 
til Vǫrva kom 
spakfrǫmuðr 
Spǫrs at hefna. 
Ok þat orð 
á austrvega 
vísa ferð 
frá vígi bar, 
at þann gram 
of geta skyldi 
slǫnguþref 
Sleipnis verðar. ",Ynglingatal,Þjóð Yt 8<sup>I</sup>,1,Þjóðólfr ór Hvini 
8,"Þat telk undr, 
ef Agna her 
Skjalfar rôð 
at skǫpum þóttu, 
þás gœðing 
með gollmeni 
Loga dís 
at lopti hóf, 
hinns við †tꜹr† 
temja skyldi 
svalan hest 
Signýjar vers. ","Þat telk undr, 
ef Agna her 
Skjalfar rôð 
at skǫpum þóttu, 
þás gœðing 
með gollmeni 
Loga dís 
at lopti hóf, 
hinns við †tꜹr† 
temja skyldi 
svalan hest 
Signýjar vers. ",Ynglingatal,Þjóð Yt 9<sup>I</sup>,1,Þjóðólfr ór Hvini 
9,"Fell Alrekr, 
þars Eireki 
bróður vôpn 
at bana urðu. 
Ok hnakkmars 
með hǫfuðfetlum 
Dags fríendr 
of drepask kvôðu. 
Fráat maðr áðr 
eykja greiði 
Freys afspring 
í folk hafa. ","Fell Alrekr, 
þars Eireki 
bróður vôpn 
at bana urðu. 
Ok hnakkmars 
með hǫfuðfetlum 
Dags fríendr 
of drepask kvôðu. 
Fráat maðr áðr 
eykja greiði 
Freys afspring 
í folk hafa. ",Ynglingatal,Þjóð Yt 10<sup>I</sup>,1,Þjóðólfr ór Hvini 
10,"Ok varð hinn, 
es Ôlfr of vá, 
vǫrðr véstalls 
of veginn liggja, 
es dǫglingr 
dreyrgan mæki 
ǫfundgjarn 
á Yngva rauð. 
Vasa þat bært, 
at Bera skyldi 
valsœfendr 
vígs of hvetja, 
þás brœðr tveir 
at bǫnum urðusk 
óþurfendr 
of afbrýði. ","Ok varð hinn, 
es Ôlfr of vá, 
vǫrðr véstalls 
of veginn liggja, 
es dǫglingr 
dreyrgan mæki 
ǫfundgjarn 
á Yngva rauð. 
Vasa þat bært, 
at Bera skyldi 
valsœfendr 
vígs of hvetja, 
þás brœðr tveir 
at bǫnum urðusk 
óþurfendr 
of afbrýði. ",Ynglingatal,Þjóð Yt 11<sup>I</sup>,1,Þjóðólfr ór Hvini 
11,"Varð Jǫrundr, 
hinns endr of dó, 
lífs of lattr 
í Limafirði, 
þás hábrjóstr 
hǫrva Sleipnir 
bana Goðlaugs 
of bera skyldi. 
Ok Hagbarðs 
hersa valdi 
hǫðnu leif 
at halsi gekk. ","Varð Jǫrundr, 
hinns endr of dó, 
lífs of lattr 
í Limafirði, 
þás hábrjóstr 
hǫrva Sleipnir 
bana Goðlaugs 
of bera skyldi. 
Ok Hagbarðs 
hersa valdi 
hǫðnu leif 
at halsi gekk. ",Ynglingatal,Þjóð Yt 12<sup>I</sup>,1,Þjóðólfr ór Hvini 
12,"Knátti endr 
at Uppsǫlum 
ánasótt 
Aun of standa. 
Ok þrálífr 
þiggja skyldi 
jóðs alað 
ǫðru sinni. 
Ok sveiðurs 
at sér hverfði 
mækis hlut 
inn mjávara, 
es okhreins 
ôttunga rjóðr 
lǫgðis odd 
liggjandi drakk. 
Máttit hárr 
hjarðar mæki 
austrkonungr 
upp of halda. ","Knátti endr 
at Uppsǫlum 
ánasótt 
Aun of standa. 
Ok þrálífr 
þiggja skyldi 
jóðs alað 
ǫðru sinni. 
Ok sveiðurs 
at sér hverfði 
mækis hlut 
inn mjávara, 
es okhreins 
ôttunga rjóðr 
lǫgðis odd 
liggjandi drakk. 
Máttit hárr 
hjarðar mæki 
austrkonungr 
upp of halda. ",Ynglingatal,Þjóð Yt 13<sup>I</sup>,1,Þjóðólfr ór Hvini 
13,"Ok lofsæll 
ór landi fló 
Týs ôttungr 
Tunna ríki. 
En flæmingr 
farra trjónu 
jǫtuns eykr 
á Agli rauð, 
sás of austmǫrk 
áðan hafði 
brúna hǫrg 
of borinn lengi. 
En skíðlauss 
Skilfinga nið 
hœfis hjǫrr 
til hjarta stóð. ","Ok lofsæll 
ór landi fló 
Týs ôttungr 
Tunna ríki. 
En flæmingr 
farra trjónu 
jǫtuns eykr 
á Agli rauð, 
sás of austmǫrk 
áðan hafði 
brúna hǫrg 
of borinn lengi. 
En skíðlauss 
Skilfinga nið 
hœfis hjǫrr 
til hjarta stóð. ",Ynglingatal,Þjóð Yt 14<sup>I</sup>,1,Þjóðólfr ór Hvini 
14,"Fell Óttarr 
und ara greipar 
dugandligr 
fyr Dana vôpnum. 
Þann hergammr 
hrægum fœti 
ví<i>ð</i>s borinn 
á Vendli sparn. 
Þau frák verk 
Vǫtts ok Fasta 
sœnskri þjóð 
at sǫgum verða, 
at eylands 
jarlar Fróða 
vígfrǫmuð 
of veginn hǫfðu. ","Fell Óttarr 
und ara greipar 
dugandligr 
fyr Dana vôpnum. 
Þann hergammr 
hrægum fœti 
víðs borinn 
á Vendli sparn. 
Þau frák verk 
Vǫtts ok Fasta 
sœnskri þjóð 
at sǫgum verða, 
at eylands 
jarlar Fróða 
vígfrǫmuð 
of veginn hǫfðu. ",Ynglingatal,Þjóð Yt 15<sup>I</sup>,1,Þjóðólfr ór Hvini 
15,"Þat frák enn, 
at Aðils fjǫrvi 
vitta véttr 
of viða skyldi. 
Ok dáðgjarn 
af drasils bógum 
Freys ôttungr 
falla skyldi. 
Ok við aur 
ægir hjarna 
bragnings burs 
of blandinn varð. 
Ok dáðsæll 
deyja skyldi 
Ála dolgr 
at Uppsǫlum. ","Þat frák enn, 
at Aðils fjǫrvi 
vitta véttr 
of viða skyldi. 
Ok dáðgjarn 
af drasils bógum 
Freys ôttungr 
falla skyldi. 
Ok við aur 
ægir hjarna 
bragnings burs 
of blandinn varð. 
Ok dáðsæll 
deyja skyldi 
Ála dolgr 
at Uppsǫlum. ",Ynglingatal,Þjóð Yt 16<sup>I</sup>,1,Þjóðólfr ór Hvini 
16,"Veitk Eysteins 
enda folginn 
lokins lífs 
á Lófundi. 
Ok sikling 
með Svíum kvôðu 
józka menn 
inni brenna. 
Ok bitsótt 
í brandnói 
hlíðar þangs 
á hilmi rann, 
þás timbrfastr 
toptar nǫkkvi 
flotna fullr 
of fylki brann. ","Veitk Eysteins 
enda folginn 
lokins lífs 
á Lófundi. 
Ok sikling 
með Svíum kvôðu 
józka menn 
inni brenna. 
Ok bitsótt 
í brandnói 
hlíðar þangs 
á hilmi rann, 
þás timbrfastr 
toptar nǫkkvi 
flotna fullr 
of fylki brann. ",Ynglingatal,Þjóð Yt 17<sup>I</sup>,1,Þjóðólfr ór Hvini 
17,"Þat stǫkk upp, 
at Yngvari 
Sýslu kind 
of sóit hafði. 
Ok Ljósh<i>a</i>m* 
við lagar hjarta 
herr eistneskr 
at hilmi vá. 
Ok austmarr 
jǫfri sœnskum 
Gymis ljóð 
at gamni kveðr. ","Þat stǫkk upp, 
at Yngvari 
Sýslu kind 
of sóit hafði. 
Ok Ljósham* 
við lagar hjarta 
herr eistneskr 
at hilmi vá. 
Ok austmarr 
jǫfri sœnskum 
Gymis ljóð 
at gamni kveðr. ",Ynglingatal,Þjóð Yt 18<sup>I</sup>,1,Þjóðólfr ór Hvini 
